Indicator,Unit,Monetisation method,Indicator definition
Eco-costs of land-use (brazil),chf/m2,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","Eco-costs Of Land-use [chf/m2] Express The Direct Impacts On Biodiversity. Biodiversity Make Contributions To Mankind Through A Wide Range Of Services, Including Habitat Creation, Human And Animal Nutrition, Pollination, Soil Protection And The Regulation Of Air Quality, Climate And Ocean Acidification. However, Over The Last 50 Years, Biodiversity Is Suffering From Irreversible Impacts And Extinction, Whereby E.g. Wild Animal Populations Have Declined By 69%. The Main Drivers Of Biodiversity Loss Are Changes In Land And Sea Use, Direct Exploitation Of Organisms, Climate Change, Pollution And Invasive Species.. Agricultural Expansion Is The Most Widespread Type Of Land-use Change, With More Than A Third Of The Earth’s Surface Devoted To Crop Or Livestock Raising. No Lca Method Exhaustively Takes Into Account All The Dimensions Of Biodiversity Due To Its Complexity Involving Species Density, Richness And Diversity. Given The Availability Of Data And The Existing Real Cost Methodology, We Use The Species Richness Metric."
"Eco-costs of land-use (Brazil), deforestation-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (Brazil), practice-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (Colombia), deforestation-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (Colombia), practice-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (Ecuador), deforestation-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (Ecuador), practice-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (Ethiopia), deforestation-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (Ethiopia), practice-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (France), deforestation-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (France), practice-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
Eco-costs of land-use (honduras),chf/m2,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","Eco-costs Of Land-use [chf/m2] Express The Direct Impacts On Biodiversity. Biodiversity Make Contributions To Mankind Through A Wide Range Of Services, Including Habitat Creation, Human And Animal Nutrition, Pollination, Soil Protection And The Regulation Of Air Quality, Climate And Ocean Acidification. However, Over The Last 50 Years, Biodiversity Is Suffering From Irreversible Impacts And Extinction, Whereby E.g. Wild Animal Populations Have Declined By 69%. The Main Drivers Of Biodiversity Loss Are Changes In Land And Sea Use, Direct Exploitation Of Organisms, Climate Change, Pollution And Invasive Species.. Agricultural Expansion Is The Most Widespread Type Of Land-use Change, With More Than A Third Of The Earth’s Surface Devoted To Crop Or Livestock Raising. No Lca Method Exhaustively Takes Into Account All The Dimensions Of Biodiversity Due To Its Complexity Involving Species Density, Richness And Diversity. Given The Availability Of Data And The Existing Real Cost Methodology, We Use The Species Richness Metric."
"Eco-costs of land-use (India), deforestation-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (India), practice-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
Eco-costs of land-use (ivory cost),chf/m2,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","Eco-costs Of Land-use [chf/m2] Express The Direct Impacts On Biodiversity. Biodiversity Make Contributions To Mankind Through A Wide Range Of Services, Including Habitat Creation, Human And Animal Nutrition, Pollination, Soil Protection And The Regulation Of Air Quality, Climate And Ocean Acidification. However, Over The Last 50 Years, Biodiversity Is Suffering From Irreversible Impacts And Extinction, Whereby E.g. Wild Animal Populations Have Declined By 69%. The Main Drivers Of Biodiversity Loss Are Changes In Land And Sea Use, Direct Exploitation Of Organisms, Climate Change, Pollution And Invasive Species.. Agricultural Expansion Is The Most Widespread Type Of Land-use Change, With More Than A Third Of The Earth’s Surface Devoted To Crop Or Livestock Raising. No Lca Method Exhaustively Takes Into Account All The Dimensions Of Biodiversity Due To Its Complexity Involving Species Density, Richness And Diversity. Given The Availability Of Data And The Existing Real Cost Methodology, We Use The Species Richness Metric."
"Eco-costs of land-use (Switzerland), deforestation-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (Switzerland), practice-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (United states of america), deforestation-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
"Eco-costs of land-use (United states of america), practice-related",m²/kg,"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 €/m2 in 2024 (in 2022 it was 6 €/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)","The Eco-cost Of Land Use Is An Environmental Impact Assessment Metric That Quantifies The Cost Of Using Land For Human Activities, Particularly In Agriculture, Forestry, And Urban Development. It Reflects The Loss Of Biodiversity, Soil Degradation, And Ecosystem Services Due To Land Occupation And Transformation                                                                                                          "
Endosulfan,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Endosulfan [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Endrin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Endrin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Epoxiconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Epoxiconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Ethametsulfuron-methyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Ethametsulfuron-methyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Ethephon,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Ethephon [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Ethion,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Ethion [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Ethoprophos,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Ethoprophos [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Ethoxyquin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Ethoxyquin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Ethoxysulfuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Ethoxysulfuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Etofenprox,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Etofenprox [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Etoxazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Etoxazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Excessive and underpaid overtime,fte/kg,"A combination of compensation, prevention, and retribution costs. The compensation cost represents the wage gap due to underpaid overtime, corrected for an increase in consumer prices (annual inflation)due to delayed income. The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution cost represents a penalty cost for overtime work above the maximum legal limit or paid under legal requirements based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)","Excessive And Underpaid Overtime [fte/kg] Expressed In Full-time Equivalents Per Kilogram (fte/kg), Measures The Amount Of Unpaid Or Inadequately Compensated Overtime Work Relative To The Output Produced In A Given Context, Such As In The Agricultural Sector. This Metric Highlights Labor Practices That Exploit Workers By Requiring Them To Work Beyond Standard Hours Without Fair Compensation.                                                                                               "
Famoxadone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Famoxadone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fatal occupational incidents,incidents/kg,"A combination of compensation, prevention, and retribution costs. The compensation cost represents the average cost of medical expenses for occupational injuries not covered by the employer estimated from Dutch data and adapted to other countries using value transfer (RIVM, 2022; Stam, C. & Blatter, B., 2020; WHO, 2021), the value of health (DALY) loss in the case of non-fatal incidents and the VSL in the cause of fatal incidents as a compensation to the family of the victim (Biausque, 2012). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution costs represent a penalty for the cases in which workers perform their duties in conditions which violate Health and Safety regulations, which is based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)","Fatal Occupational Incidents [incidents/kg] Quantify The Number Of Fatal Workplace Accidents Relative To The Amount Of Product Produced Or Processed, Often In Industries Such As Manufacturing, Agriculture, Or Construction. This Metric Is Important Because It Provides Insight Into The Safety Performance Of An Industry Or Organization By Linking Worker Fatalities To Production Levels.                                                                                                  "
Female workers without maternity leave provision,USD/kg,"The cost includes compensation, prevention, and retribution. Compensation covers lost income from maternity paid leave, adjusted for inflation. Prevention funds auditing to prevent future violations. Retribution applies apenalty for lack of legally required maternity leaves","Tracks The Number Of Women Employed Without Access To Maternity Leave, Reflecting Gender-based Labor Rights Gaps.                                                                                                                                       "
Fenamidone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenamidone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fenarimol,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenarimol [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fenazaquin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenazaquin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fenbutatin oxide,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenbutatin Oxide [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                           "
Fenhexamid,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenhexamid [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fenitrothion,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenitrothion [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fenoxaprop-p,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Fenoxaprop-p [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
