"Indicator";"Unit";"Monetisation method";"Indicator definition"
"Disulfoton";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Disulfoton [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Diuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Diuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Dodine";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Dodine [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Eco-costs of land-use";"chf/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"Eco-costs of land-use [CHF/kg] express the direct impacts on biodiversity. Biodiversity make contributions to mankind through a wide range of services, including habitat creation, human and animal nutrition, pollination, soil protection and the regulation of air quality, climate and ocean acidification. However, over the last 50 years, biodiversity is suffering from irreversible impacts and extinction, whereby e.g. wild animal populations have declined by 69%. The main drivers of biodiversity loss are changes in land and sea use, direct exploitation of organisms, climate change, pollution and invasive species.. Agricultural expansion is the most widespread type of land-use change, with more than a third of the earth\92s surface devoted to crop or livestock raising. No LCA method exhaustively takes into account all the dimensions of biodiversity due to its complexity involving species density, richness and diversity. Given the availability of data and the existing real cost methodology, we use the species richness metric."
"Eco-costs of land-use (brazil)";"chf/m2";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"Eco-costs of land-use [CHF/m2] express the direct impacts on biodiversity. Biodiversity make contributions to mankind through a wide range of services, including habitat creation, human and animal nutrition, pollination, soil protection and the regulation of air quality, climate and ocean acidification. However, over the last 50 years, biodiversity is suffering from irreversible impacts and extinction, whereby e.g. wild animal populations have declined by 69%. The main drivers of biodiversity loss are changes in land and sea use, direct exploitation of organisms, climate change, pollution and invasive species.. Agricultural expansion is the most widespread type of land-use change, with more than a third of the earth\92s surface devoted to crop or livestock raising. No LCA method exhaustively takes into account all the dimensions of biodiversity due to its complexity involving species density, richness and diversity. Given the availability of data and the existing real cost methodology, we use the species richness metric."
"Eco-costs of land-use (Brazil), deforestation-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (Brazil), practice-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (Colombia), deforestation-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (Colombia), practice-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (Ecuador), deforestation-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (Ecuador), practice-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (Ethiopia), deforestation-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (Ethiopia), practice-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (France), deforestation-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (France), practice-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (honduras)";"chf/m2";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"Eco-costs of land-use [CHF/m2] express the direct impacts on biodiversity. Biodiversity make contributions to mankind through a wide range of services, including habitat creation, human and animal nutrition, pollination, soil protection and the regulation of air quality, climate and ocean acidification. However, over the last 50 years, biodiversity is suffering from irreversible impacts and extinction, whereby e.g. wild animal populations have declined by 69%. The main drivers of biodiversity loss are changes in land and sea use, direct exploitation of organisms, climate change, pollution and invasive species.. Agricultural expansion is the most widespread type of land-use change, with more than a third of the earth\92s surface devoted to crop or livestock raising. No LCA method exhaustively takes into account all the dimensions of biodiversity due to its complexity involving species density, richness and diversity. Given the availability of data and the existing real cost methodology, we use the species richness metric."
"Eco-costs of land-use (India), deforestation-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (India), practice-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (ivory cost)";"chf/m2";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"Eco-costs of land-use [CHF/m2] express the direct impacts on biodiversity. Biodiversity make contributions to mankind through a wide range of services, including habitat creation, human and animal nutrition, pollination, soil protection and the regulation of air quality, climate and ocean acidification. However, over the last 50 years, biodiversity is suffering from irreversible impacts and extinction, whereby e.g. wild animal populations have declined by 69%. The main drivers of biodiversity loss are changes in land and sea use, direct exploitation of organisms, climate change, pollution and invasive species.. Agricultural expansion is the most widespread type of land-use change, with more than a third of the earth\92s surface devoted to crop or livestock raising. No LCA method exhaustively takes into account all the dimensions of biodiversity due to its complexity involving species density, richness and diversity. Given the availability of data and the existing real cost methodology, we use the species richness metric."
"Eco-costs of land-use (Switzerland), deforestation-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (Switzerland), practice-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (United states of america), deforestation-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Eco-costs of land-use (United states of america), practice-related";"m\B2/kg";"For the eco-costs of land-use in tropical forests (biodegradation), the prevention costs of biodiversity have been calculated for the prevention of the production of palm oil from palm oil plantations in Indonesia (which is one of the most appalling situations of degrading biodiversity). The prevention measure here is to stop the palm oil production and replace that by oil from agricultural waste (biobased oil by pyrolysis of waste). These prevention costs are estimated at 6.87 \80/m2 in 2024 (in 2022 it was 6 \80/m2), applied to land with a biodiversity of 4000 vascular species per 10.000 km2 (case: Sumatra and a big part of Kalimantang). The degradation of 4000 species per 10.000 km2 is set as the norm for palm oil plantations: biodiversity factor = 1. Other countries are compared to this norm with a biodiversity factor. (https://www.ecocostsvalue.com/ecocosts/eco-costs-land-use/)";"The eco-cost of land use is an environmental impact assessment metric that quantifies the cost of using land for human activities, particularly in agriculture, forestry, and urban development. It reflects the loss of biodiversity, soil degradation, and ecosystem services due to land occupation and transformation                                                                                                          "
"Endosulfan";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Endosulfan [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Endrin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Endrin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Epoxiconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Epoxiconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Ethametsulfuron-methyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Ethametsulfuron-methyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Ethephon";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Ethephon [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Ethion";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Ethion [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Ethoprophos";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Ethoprophos [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Ethoxyquin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Ethoxyquin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Ethoxysulfuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Ethoxysulfuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Etofenprox";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Etofenprox [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Etoxazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Etoxazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Excessive and underpaid overtime";"fte/kg";"A combination of compensation, prevention, and retribution costs. The compensation cost represents the wage gap due to underpaid overtime, corrected for an increase in consumer prices (annual inflation)due to delayed income. The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution cost represents a penalty cost for overtime work above the maximum legal limit or paid under legal requirements based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Excessive and underpaid overtime [FTE/kg] expressed in full-time equivalents per kilogram (FTE/kg), measures the amount of unpaid or inadequately compensated overtime work relative to the output produced in a given context, such as in the agricultural sector. This metric highlights labor practices that exploit workers by requiring them to work beyond standard hours without fair compensation.                                                                                               "
"Famoxadone";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Famoxadone [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Fatal occupational incidents";"incidents/kg";"A combination of compensation, prevention, and retribution costs. The compensation cost represents the average cost of medical expenses for occupational injuries not covered by the employer estimated from Dutch data and adapted to other countries using value transfer (RIVM, 2022; Stam, C. & Blatter, B., 2020; WHO, 2021), the value of health (DALY) loss in the case of non-fatal incidents and the VSL in the cause of fatal incidents as a compensation to the family of the victim (Biausque, 2012). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution costs represent a penalty for the cases in which workers perform their duties in conditions which violate Health and Safety regulations, which is based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Fatal occupational incidents [incidents/kg] quantify the number of fatal workplace accidents relative to the amount of product produced or processed, often in industries such as manufacturing, agriculture, or construction. This metric is important because it provides insight into the safety performance of an industry or organization by linking worker fatalities to production levels.                                                                                                  "
"Female workers without maternity leave provision";"USD/kg";"The cost includes compensation, prevention, and retribution. Compensation covers lost income from maternity paid leave, adjusted for inflation. Prevention funds auditing to prevent future violations. Retribution applies apenalty for lack of legally required maternity leaves";"Tracks the number of women employed without access to maternity leave, reflecting gender-based labor rights gaps.                                                                                                                                       "
"Fenamidone";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Fenamidone [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Fenarimol";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Fenarimol [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Fenazaquin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Fenazaquin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Fenbutatin oxide";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Fenbutatin oxide [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                           "
"Fenhexamid";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Fenhexamid [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Fenitrothion";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Fenitrothion [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Fenoxaprop-p";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Fenoxaprop-p [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
